Language,Participant,Occurency_order,Item,Consistency,Cons_level,Lexicality,Accuracy,RT,logRT,Outlier
French,103,5,Fr_con_puma-luva.wav,con,NA,pseudoword,1,930,0.989494316,0
French,103,6,Fr_con_brulure-trumure.wav,con,0,pseudoword,1,1120,1.016406008,0
French,103,7,Fr_con_bonbon-donmon.wav,con,NA,pseudoword,1,1072,1.010064928,0
French,103,8,Fr_con_madame.wav,con,NA,word,1,989,0.998398764,0
French,103,9,Fr_inc2_quai.wav,inc,2,word,1,860,0.97816615,0
French,103,10,Fr_inc_girafe-kirague.wav,inc,3,pseudoword,1,906,0.985709399,0
French,103,11,Fr_con0_morve.wav,con,0,word,1,951,0.992726839,0
French,103,12,Fr_con0_machoire.wav,con,0,word,1,869,0.979673259,0
French,103,13,Fr_inc_cousin.wav,inc,NA,word,1,792,0.966241727,0
French,103,14,Fr_con_boite.wav,con,NA,word,1,851,0.976643187,0
French,103,15,Fr_con_ruche-muve.wav,con,0,pseudoword,0,805,0.968598627,1
French,103,16,Fr_con_doudoune-bouloune.wav,con,NA,pseudoword,1,1078,1.01087292,0
French,103,17,Fr_inc_jour.wav,inc,NA,word,1,997,0.999565053,0
French,103,18,Fr_inc2_cerf.wav,inc,2,word,1,1095,1.01313804,0
French,103,19,Fr_inc_gifle-sisle.wav,inc,3,pseudoword,1,1176,1.023469107,0
French,103,20,Fr_con_mouche-poube.wav,con,NA,pseudoword,1,993,0.998983083,0
French,103,21,Fr_inc_camera-samena.wav,inc,2,pseudoword,1,1090,1.012475499,0
French,103,22,Fr_inc2_cible.wav,inc,2,word,1,957,0.993637313,0
French,103,23,Fr_inc_sabot.wav,inc,NA,word,1,937,0.990579864,0
French,103,24,Fr_con_peur.wav,con,NA,word,1,737,0.955822496,0
French,103,25,Fr_con_date-mabe.wav,con,0,pseudoword,1,819,0.971094634,0
French,103,26,Fr_inc3_girafe.wav,inc,3,word,1,939,0.990888531,0
French,103,27,Fr_inc3_kepis.wav,inc,3,word,1,1086,1.011943275,0
French,103,28,Fr_con0_vapeur.wav,con,0,word,1,932,0.989805304,0
French,103,29,Fr_inc3_fils.wav,inc,3,word,1,1063,1.008844422,0
French,103,30,Fr_inc_cerf-queche.wav,inc,2,pseudoword,1,888,0.982804322,0
French,103,31,Fr_inc2_flaque.wav,inc,2,word,0,1003,1.000433644,0
French,103,32,Fr_con_bouchon.wav,con,NA,word,1,964,0.994692345,0
French,103,33,Fr_con_doudoune.wav,con,NA,word,1,869,0.979673259,0
French,103,34,Fr_con_lardon-parnon.wav,con,0,pseudoword,1,1091,1.01260825,0
French,103,35,Fr_inc_soupe-coume.wav,inc,NA,pseudoword,1,1217,1.028430193,0
French,103,36,Fr_inc_flaque-slasse.wav,inc,2,pseudoword,1,1265,1.034030175,0
French,103,37,Fr_inc3_cigogne.wav,inc,3,word,1,1130,1.017692814,0
French,103,38,Fr_inc2_cote.wav,inc,2,word,1,857,0.977660274,0
French,103,39,Fr_con0_ruche.wav,con,0,word,1,1421,1.050864693,0
French,103,40,Fr_inc_jupe.wav,inc,NA,word,1,1116,1.015888065,0
French,103,41,Fr_con_douleur-bouleuve.wav,con,NA,pseudoword,1,1061,1.008571795,0
French,103,42,Fr_con_vapeur-raneur.wav,con,0,pseudoword,1,1093,1.012873387,0
French,103,43,Fr_con_bouchon-doulon.wav,con,NA,pseudoword,1,1096,1.013270185,0
French,103,44,Fr_con_mouche.wav,con,NA,word,1,775,0.963100568,0
French,103,45,Fr_con_roulade-bounade.wav,con,NA,pseudoword,1,997,0.999565053,0
French,103,46,Fr_inc_cible-quibre.wav,inc,2,pseudoword,1,1024,1.003433319,0
French,103,47,Fr_con_douleur.wav,con,NA,word,1,871,0.980006052,0
French,103,48,Fr_inc_caisse-seffe.wav,inc,3,pseudoword,1,1030,1.004279075,0
French,103,49,Fr_inc2_gendarme.wav,inc,2,word,1,814,0.970208135,0
French,103,50,Fr_con_peluche-meruche.wav,con,NA,pseudoword,1,1339,1.042260192,0
French,103,51,Fr_con_retour-betoute.wav,con,NA,pseudoword,1,961,0.994241129,0
French,103,52,Fr_con_preuve.wav,con,NA,word,1,856,0.977491255,0
French,103,53,Fr_con_parole-nabole.wav,con,NA,pseudoword,1,873,0.980338081,0
French,103,54,Fr_con_peur-leute.wav,con,NA,pseudoword,1,828,0.972676779,0
French,103,55,Fr_con_pneu-treu.wav,con,NA,pseudoword,1,942,0.991350301,0
French,103,56,Fr_con_porte-lorve.wav,con,NA,pseudoword,1,1192,1.025425418,0
French,103,57,Fr_inc3_sirene.wav,inc,3,word,1,938,0.990734279,0
French,103,58,Fr_inc3_kilo.wav,inc,3,word,1,714,0.951232737,0
French,103,59,Fr_inc3_foret.wav,inc,3,word,1,778,0.963659866,0
French,103,60,Fr_inc_quatre-sadre.wav,inc,NA,pseudoword,0,795,0.966789043,1
French,103,61,Fr_con_puma.wav,con,NA,word,1,695,0.947328268,0
French,103,62,Fr_inc_phare-jale.wav,inc,NA,pseudoword,1,987,0.998105718,0
French,103,63,Fr_inc_cousin-souffin.wav,inc,NA,pseudoword,1,1197,1.026031383,0
French,103,64,Fr_inc_cote-soche.wav,inc,2,pseudoword,1,890,0.983130002,0
